time,biomass,nutrient,temperature,light,nutrient_rate,light_level,heater_power,DO
188.0,305.2499845902506,20.298775271555602,26.452742,200.0,0.70011955,200.0,77.0113,1.602205740328768
189.0,306.77617819781096,20.21742024185761,26.462086,200.0,0.6817418,200.0,78.212975,1.526193607560354
190.0,308.2346906679894,20.155368327199138,26.471542,200.0,0.6672043,200.0,79.151825,1.4585124701784544
191.0,309.6338671379464,20.11167431209597,26.481087,200.0,0.6558942,200.0,79.884026,1.3991764699570026
192.0,310.98173910034666,20.084928961331805,26.4907,200.0,0.64719063,200.0,80.4565,1.347871962400223
193.0,312.2857846875649,20.07344986698722,26.500366,200.0,0.6405437,200.0,80.90604,1.3040455872182202
194.0,313.55278140486706,20.075445919327816,26.510077,200.0,0.6354944,200.0,81.26111,1.2669967173021515
195.0,314.78873977752164,20.08914376451756,26.51982,200.0,0.63167703,200.0,81.54331,1.235958372654574
196.0,315.99889457778465,20.112872717001405,26.529589,200.0,0.62880635,200.0,81.76907,1.2101548002630205
197.0,317.1877399555298,20.14511234206696,26.539381,200.0,0.6266623,200.0,81.95091,1.188845377745175
198.0,318.3590896520909,20.184514681801407,26.54919,200.0,0.6250772,200.0,82.09845,1.1713496965610735
199.0,319.5161492337262,20.229907477424817,26.559015,200.0,0.6239226,200.0,82.21906,1.1570595816352567
200.0,320.66159144056184,20.28028665476871,26.568851,200.0,0.6231003,200.0,82.31854,1.1454422068356553
201.0,321.7976321890644,20.334801449642026,26.578697,200.0,0.62253517,200.0,82.40136,1.136040748502574
202.0,322.92609764393694,20.392737859206814,26.58855,200.0,0.62216914,200.0,82.47106,1.1284654548724995
203.0,324.04848636499287,20.453501218004874,26.598412,200.0,0.6219577,200.0,82.53042,1.1223887210559218
204.0,325.16602427523503,20.516598131452202,26.608278,200.0,0.62186587,200.0,82.58169,1.1175379102421827
205.0,326.2797106818279,20.58162169079385,26.61815,200.0,0.62186676,200.0,82.62657,1.1136864065928902
206.0,327.3903577312492,20.64823728876007,26.628029,200.0,0.6219391,200.0,82.66652,1.1106470494212628
207.0,328.4986245943107,20.71617023582277,26.63791,200.0,0.6220664,200.0,82.702576,1.1082668630614882
208.0,329.6050438596876,20.78519613970961,26.647797,200.0,0.62223554,200.0,82.73566,1.1064192653769545
209.0,330.7100454872828,20.855131551326302,26.657686,200.0,0.6224362,200.0,82.76647,1.105001627595162
210.0,331.8139757419391,20.925826703272133,26.66758,200.0,0.6226603,200.0,82.79555,1.1039302546563103
211.0,332.91711298743417,20.99715952019134,26.677475,200.0,0.62290144,200.0,82.82339,1.1031372454950865
212.0,334.0196790517252,21.069031009034294,26.687374,200.0,0.6231545,200.0,82.85029,1.1025660642910171
213.0,335.1218509368312,21.141360357790635,26.697277,200.0,0.6234153,200.0,82.876564,1.1021718851060307
214.0,336.2237698275012,21.21408162324819,26.707182,200.0,0.6236807,200.0,82.90242,1.101918890669968
215.0,337.3255459631388,21.287141533449127,26.71709,200.0,0.623948,200.0,82.92804,1.1017761356375548
216.0,338.42726639827544,21.360496561127675,26.727001,200.0,0.62421525,200.0,82.95356,1.1017204351366754
217.0,339.528998367143,21.434111360633253,26.736916,200.0,0.6244808,200.0,82.97908,1.101731968867566
218.0,340.63079253008624,21.507957502351932,26.746834,200.0,0.6247432,200.0,83.00467,1.1017941629432588
219.0,341.73268813356873,21.582011250331444,26.756754,200.0,0.62500155,200.0,83.03041,1.1018956034825058
220.0,342.83471335993664,21.656253625817836,26.766678,200.0,0.625255,200.0,83.05635,1.1020252263679162
221.0,343.9368878769302,21.7306690728951,26.776604,200.0,0.6255027,200.0,83.08249,1.1021745169935424
222.0,345.039224333779,21.805245127670034,26.786533,200.0,0.6257443,200.0,83.10884,1.1023364568487501
223.0,346.1417300364644,21.879971580640962,26.796467,200.0,0.6259793,200.0,83.13546,1.1025057026854648
224.0,347.2444081467169,21.954839996408577,26.806402,200.0,0.6262075,200.0,83.16233,1.102678110252493
225.0,348.347258141765,22.029843543405857,26.816341,200.0,0.62642854,200.0,83.18945,1.1028499950481019
226.0,349.4502759751426,22.10497685388992,26.826284,200.0,0.6266422,200.0,83.21681,1.1030178333775782
227.0,350.5534557071248,22.180235625956527,26.836231,200.0,0.62684864,200.0,83.24441,1.1031797319822036
228.0,351.65679014332153,22.25561588701084,26.84618,200.0,0.6270475,200.0,83.272194,1.1033344361967314
229.0,352.7602697592812,22.331114889093428,26.856133,200.0,0.6272388,200.0,83.300224,1.1034796159596434
230.0,353.86388435899534,22.406730160418594,26.866089,200.0,0.6274226,200.0,83.328415,1.1036145997141733
231.0,354.96762188451885,22.482460279378337,26.876049,200.0,0.6275989,200.0,83.35679,1.1037375255235047
