time,biomass,nutrient,temperature,light,nutrient_rate,light_level,heater_power,DO
48.0,3.3117348791397108,27.844132560430133,26.147923,100.0,0.5,100.0,200.0,0.07840487120585139
49.0,3.391825819683319,28.30408709015833,26.171837,100.0,0.5,100.0,200.0,0.08009094054360794
50.0,3.4736292128003146,28.763185393599834,26.195751,100.0,0.5,100.0,200.0,0.08180339311699548
51.0,3.5571714802883716,29.221414259855806,26.219666,100.0,0.5,100.0,200.0,0.0835422674880569
52.0,3.6424790855108027,29.67876045724459,26.243578,100.0,0.5,100.0,200.0,0.0853076052224311
53.0,3.7295785062332376,30.13521074688337,26.26749,100.0,0.5,100.0,200.0,0.0870994207224351
54.0,3.818496185339604,30.590751907330187,26.291403,100.0,0.5,100.0,200.0,0.08891767910636653
55.0,3.9092585711454704,31.045370714427253,26.315315,100.0,0.5,100.0,200.0,0.09076238580586626
56.0,4.00189207545801,31.499053962270985,26.339228,100.0,0.5,100.0,200.0,0.09263350431254
57.0,4.0964230486771696,31.951788475661406,26.36314,100.0,0.5,100.0,200.0,0.09453097321915908
58.0,4.192877760640499,32.403561119679736,26.387053,100.0,0.5,100.0,200.0,0.09645471196332997
59.0,4.29128241063579,32.85435879468209,26.410965,100.0,0.5,100.0,200.0,0.09840464999529065
60.0,4.3916630801457135,33.30416845992713,26.434877,100.0,0.5,100.0,200.0,0.10038066950992362
61.0,4.494045719913659,33.752977140043164,26.45879,100.0,0.5,100.0,200.0,0.10238263976794543
62.0,4.598456137532647,34.20077193123367,26.482702,100.0,0.5,100.0,200.0,0.10441041761898838
63.0,4.704919977485558,34.64754001125721,26.506615,100.0,0.5,100.0,200.0,0.10646383995291045
64.0,4.813462709079855,35.093268645460064,26.530527,100.0,0.5,100.0,200.0,0.10854273159429684
65.0,4.924109555395447,35.53794522230227,26.55444,100.0,0.5,100.0,200.0,0.1106468463155919
66.0,5.036885571875604,35.98155721406219,26.578352,100.0,0.5,100.0,200.0,0.11277601648015695
67.0,5.151815515458316,36.42409224227084,26.602264,100.0,0.5,100.0,200.0,0.11492994358271245
68.0,5.268923871294295,36.86553806435285,26.626177,100.0,0.5,100.0,200.0,0.11710835583597952
69.0,5.388234848825541,37.305882575587226,26.65009,100.0,0.5,100.0,200.0,0.1193109775312459
70.0,5.509772360918065,37.74511381954096,26.674002,100.0,0.5,100.0,200.0,0.12153751209252414
71.0,5.6335599539714565,38.183220023014265,26.697914,100.0,0.5,100.0,200.0,0.12378759305339145
72.0,5.759620801078039,38.62018959946097,26.721827,100.0,0.5,100.0,200.0,0.12606084710658325
73.0,5.8879777279101075,39.05601113604494,26.745739,100.0,0.5,100.0,200.0,0.12835692683206848
74.0,6.018653109534879,39.49067344523255,26.769651,100.0,0.5,100.0,200.0,0.13067538162477177
75.0,6.151668937197258,39.924165531401364,26.793564,100.0,0.5,100.0,200.0,0.1330158276623788
76.0,6.287046701288945,40.35647664935552,26.817476,100.0,0.5,100.0,200.0,0.135377764091687
77.0,6.424807450590874,40.787596274704555,26.841389,100.0,0.5,100.0,200.0,0.13776074930192883
78.0,6.564971692183931,41.21751415390803,26.865301,100.0,0.5,100.0,200.0,0.14016424159305682
79.0,6.707559443590584,41.6462202782047,26.889214,100.0,0.5,100.0,200.0,0.14258775140665267
80.0,6.85259011714245,42.073704941428765,26.913126,100.0,0.5,100.0,200.0,0.14503067355186572
81.0,7.000082610271505,42.49995869486424,26.937038,100.0,0.5,100.0,200.0,0.14749249312905519
82.0,7.150055175825994,42.924972412086994,26.96095,100.0,0.5,100.0,200.0,0.14997256555448868
83.0,7.302525442722793,43.348737278638595,26.984863,100.0,0.5,100.0,200.0,0.15247026689679924
84.0,7.457510365300156,43.77124481734991,27.008776,100.0,0.5,100.0,200.0,0.154984922577364
85.0,7.61502634066643,44.19248682966678,27.032686,100.0,0.5,100.0,200.0,0.15751597536627304
86.0,7.775088967528521,44.612455516235734,27.056597,100.0,0.5,100.0,200.0,0.16006262686209113
87.0,7.9377131066374815,45.031143446681256,27.080507,100.0,0.5,100.0,200.0,0.1626241391089608
88.0,8.10291289666639,45.4485435516668,27.104418,100.0,0.5,100.0,200.0,0.16519979002891003
89.0,8.27070167519974,45.86464916240013,27.128328,100.0,0.5,100.0,200.0,0.16778877853335022
90.0,8.44109202433538,46.279453987832305,27.152239,100.0,0.5,100.0,200.0,0.17039034913563847
91.0,8.614095646507247,46.692952176746374,27.17615,100.0,0.5,100.0,200.0,0.17300362217186735
92.0,8.78972344079465,47.10513827960267,27.20006,100.0,0.5,100.0,200.0,0.17562779428740208
93.0,8.967985406013288,47.51600729699335,27.22397,100.0,0.5,100.0,200.0,0.1782619652186382
94.0,9.148890629844445,47.92555468507777,27.24788,100.0,0.5,100.0,200.0,0.18090522383115715
95.0,9.332447328414014,48.33377633579298,27.271791,100.0,0.5,100.0,200.0,0.18355669856956902
96.0,9.51866272929528,48.74066863535235,27.295702,100.0,0.5,100.0,200.0,0.18621540088126465
97.0,9.707543161501327,49.146228419249326,27.319613,100.0,0.5,100.0,200.0,0.18888043220604758
98.0,9.899093902896093,49.550453048551944,27.343523,100.0,0.5,100.0,200.0,0.19155074139476472
99.0,10.093319273909959,49.95334036304501,27.367434,100.0,0.5,100.0,200.0,0.19422537101386622
100.0,10.290222514524478,50.35488874273775,27.391344,100.0,0.5,100.0,200.0,0.19690324061451936
101.0,10.489805848973134,50.75509707551342,27.415255,100.0,0.5,100.0,200.0,0.19958333444865614
102.0,10.69207046883582,51.153964765582074,27.439165,100.0,0.5,100.0,200.0,0.202264619862685
103.0,10.897016403918885,51.551491798040544,27.463076,100.0,0.5,100.0,200.0,0.20494593508306563
104.0,11.104642611191938,51.94767869440402,27.486986,100.0,0.5,100.0,200.0,0.20762620727305284
